Customer ID,Customer Name,Email,Phone,Amount,Campaign Name
2iA2Vp4c3h78K91jRsF0,Aaron Laub Memorial Foundation,fake6@aol.com,,1000.00,Bergen25
oKifSLDFA2xDfhogu9eF,Aaron Liberman,okifsldfa2xdfhogu9ef@fake999email.us,,5000.00,CF25
kg5QrnWY1eKtbQ1vr9Kg,Adam chill,kg5qrnwy1ektbq1vr9kg@fake999email.us,,1000.00,Donation to JOL (USD)
oNzVDH6T7HG7iZ0bUiEN,Alan Hoffman,onzvdh6t7hg7iz0buien@fake999email.us,,18.00,Maos Chitim 2025
qx2QNGHElgl5lEQsZ5md,ben-zion Panush,qx2qnghelgl5leqsz5md@fake999email.us,,100.00,RH25
qx2QNGHElgl5lEQsZ5md,ben-zion Panush,qx2qnghelgl5leqsz5md@fake999email.us,,100.00,Maos Chitim 2025
pggj9wDWqiLRLZH27kNw,Beth Jacob High School (Student Council),pggj9wdwqilrlzh27knw@fake999email.us,,20.00,Maos Chitim 2025
R3QYt5hlnZMitgNHnOSl,Congregation Beth Jacob,r3qyt5hlnzmitgnhnosl@fake999email.us,,180.00,Donation to JOL (USD)
nb1IsACGCW8gfnzNfoPH,Dr. morris and rivka Platt,nb1isacgcw8gfnznfoph@fake999email.us,,360.00,Donation to JOL (USD)
Je6LqPRsZ0uFT90p6MAo,Haroon Saghian,je6lqprsz0uft90p6mao@fake999email.us,,260.00,Donation to JOL (USD)
R8BsseLax4HcZxg4cmph,Joseph Groozinsky,fake23@aol.com,,2.00,Maos Chitim 2025
2qEywUb8OmpCdQHU19NJ,Karen Dubin tannebaum,2qeywub8ompcdqhu19nj@fake999email.us,,10.00,Maos Chitim 2025
PzT1zYYhNXvUwqaTDGGq,"Kids Stop, Llc",pzt1zyyhnxvuwqatdggq@fake999email.us,,101.00,Maos Chitim 2025
3ud1DuUmBmmv4zhWgus2,King of Glory Christian Church,3ud1duumbmmv4zhwgus2@fake999email.us,,50.00,Monthly Donation
3ud1DuUmBmmv4zhWgus2,King of Glory Christian Church,3ud1duumbmmv4zhwgus2@fake999email.us,,50.00,Monthly Donation
3ud1DuUmBmmv4zhWgus2,King of Glory Christian Church,3ud1duumbmmv4zhwgus2@fake999email.us,,50.00,Monthly Donation
